category,factor_name,selected,importance,rank,ic_mean,icir,t_stat,p_value,adjusted_pvalue,composite_score,meaning,source_file,window
Price-Volume,VWAP0,False,0.1251,118,0.006848,0.0554,1.209,0.227254,0.286627,0.1007,"【核心含义】
相对收盘的均价：衡量全天成交均价相对于收盘价的位置，用于判断收盘价是高于还是低于全天平均成本。

【运行原理】
均价提取：获取当前交易日的成交量加权平均价(VWAP)，该价格代表了全天所有买卖单的真实平均建仓成本；
收盘比对：获取当日的最终收盘价(close)；
折溢价换算：将 VWAP 直接除以收盘价；
日内盈亏评估：若结果大于1，说明收盘价跌破了全天均价，日内入场的大部分资金处于浮亏状态（偏空）；若小于1，则大部分资金实现浮盈（偏多）。",price_volume_factors,Window_2023
Price-Volume,CNTN20,False,0.1184,119,0.006676,0.056,1.2211,0.222664,0.28599,0.0991,"【核心含义】
下跌天数占比 (Count Negative)：过去20天中收益率为负的天数占比。反映空头占据优势的交易日频率。

【运行原理】
跌势识别：逐日对比过去N天的收盘价与前一交易日收盘价，仅对“当日收盘价 < 前日收盘价”的交易日进行布尔标记（True为1，False为0）；
概率统计：在滑动窗口内对布尔序列求均值，计算出该区间内阴线（下跌日）出现的相对比例；
情绪刻画：数值越接近1，说明该区间内股票几乎每天都在下跌，反映出极强的空头压制与市场悲观情绪。",price_volume_factors,Window_2023
Price-Volume,RSQR60,False,0.1494,120,-0.004486,-0.0519,-1.1334,0.257639,0.313647,0.0975,"【核心含义】
价格趋势决定系数 (R-square)：过去60天价格线性回归的R平方。衡量价格趋势的线性度（平滑度），值越大说明趋势越稳定。

【运行原理】
数据准备：以时间序列（1到N）作为自变量，N天内的收盘价作为因变量；
线性拟合：进行普通最小二乘法(OLS)线性回归；
判定系数计算：计算回归模型的决定系数 R-squared (R²)，即因变量的方差中可由自变量（时间趋势）解释的比例；
趋势平稳度评估：R² 越接近1，说明价格沿直线涨跌的趋势越平稳、噪音越小；越接近0，说明走势杂乱无章、震荡剧烈。",price_volume_factors,Window_2023
Price-Volume,RESI5,False,0.0258,121,-0.009016,-0.0723,-1.5782,0.115181,0.155051,0.0972,"【核心含义】
价格趋势残差 (Residual)：过去5天价格线性回归的残差相对值。衡量价格偏离其线性趋势的程度，反映短期超买或超卖。

【运行原理】
数据准备：以时间序列（1到N）作为自变量，N天内的收盘价作为因变量；
线性拟合：对这两组数据进行普通最小二乘法(OLS)线性回归，得到一条代表整体趋势的最佳拟合直线；
残差提取：计算当前最新收盘价与该拟合直线在当天的预测值之间的差值（残差 Resi）；
残差归一化：将残差除以当前的收盘价；
异动捕捉：过滤掉线性的平稳趋势后，剩下的残差反映了价格的非线性突变或异常波动（超买/超卖程度）。",price_volume_factors,Window_2023
Price-Volume,SUMP5,False,0.0267,122,-0.009544,-0.0701,-1.5286,0.127019,0.167761,0.0966,"【核心含义】
正收益绝对值占比 (Sum Positive)：过去5天中所有正收益之和占总绝对收益的比例。反映多头拉升的绝对力量（类似RSI的核心思想）。

【运行原理】
多头剥离：在N天的滑动窗口内，逐日比对收盘价，仅提取出上涨交易日（今日收盘>昨日收盘）的上涨绝对点数；
多头动能累加：将这N天内的所有上涨点数进行求和；
基准归一化：将多头总动能除以这N天内所有价格变化（无论涨跌）的绝对值总和；
多方势能评估：结果在0到1之间，本质上是经典的相对强弱指标(RSI)的计算内核，反映多头在整体波动中的支配地位。",price_volume_factors,Window_2023
Price-Volume,IMIN10,False,0.1236,123,0.006263,0.0538,1.0233,0.306843,0.360992,0.0917,"【核心含义】
最低价距离天数 (Index of Min)：过去10天中最低价发生在那一天。反映低点的时效性。

【运行原理】
极值寻址：在N天滑动窗口内，扫描每日最低价，定位到最小值出现的那一天；
索引提取：获取该最小值距离窗口起始位置的时间索引(IdxMin)；
时间归一化：将索引值除以窗口总长度N，转换为0到1之间的相对时间比例；
见底时间评估：数值越大说明近期刚刚创出新低，抛压仍在释放；数值越小说明低点发生在窗口初期，目前可能已企稳反弹。",price_volume_factors,Window_2023
Price-Volume,RSQR10,False,0.0968,124,0.004899,0.0554,1.2095,0.22707,0.286627,0.0887,"【核心含义】
价格趋势决定系数 (R-square)：过去10天价格线性回归的R平方。衡量价格趋势的线性度（平滑度），值越大说明趋势越稳定。

【运行原理】
数据准备：以时间序列（1到N）作为自变量，N天内的收盘价作为因变量；
线性拟合：进行普通最小二乘法(OLS)线性回归；
判定系数计算：计算回归模型的决定系数 R-squared (R²)，即因变量的方差中可由自变量（时间趋势）解释的比例；
趋势平稳度评估：R² 越接近1，说明价格沿直线涨跌的趋势越平稳、噪音越小；越接近0，说明走势杂乱无章、震荡剧烈。",price_volume_factors,Window_2023
Price-Volume,WVMA5,False,0.0778,125,-0.003406,-0.0545,-1.1895,0.234838,0.293547,0.0794,"【核心含义】
波动加权成交量均值 (Weighted VMA)：过去5天以价格波动绝对值加权的成交量相对均值。反映大幅波动时的异常成交量特征。

【运行原理】
动能权重赋值：在N天滑动窗口内，先计算每日的价格绝对变化率（如：Abs(今日收盘/昨日收盘-1)），以此作为当日行情的“动能权重”；
量能加权：将该动能权重乘上当日的成交量，得到“价格波动加权的成交量”序列；
波动率计算：计算该加权成交量序列的标准差，并除以其均值进行无量纲化；
极端行情捕捉：该指标能极其敏感地捕捉到“巨幅震荡且伴随天量”的极端变盘日，是识别市场情绪顶底的利器。",price_volume_factors,Window_2023
Price-Volume,VSUMN60,False,0.107,126,,,,,,0.0765,"【核心含义】
缩量绝对值占比 (Volume Sum Negative)：过去60天中成交量减少部分的绝对量占比。

【运行原理】
杀跌量剥离：在N天窗口内，专门筛选出股价下跌当天的成交量变化量（若比前一日缩量则取差值，具体视公式而定）；
空头量能累加：将符合条件的下跌量能进行加总；
总基准归一化：将总的空头量能除以这N天内所有的成交量绝对变化之和；
恐慌抛盘评估：数值越大，说明该区间内的波动主要由恐慌性的放量杀跌所主导。",price_volume_factors,Window_2023
Price-Volume,MAX60,False,0.1674,127,0.004167,0.0249,0.5429,0.587422,0.618339,0.0757,"【核心含义】
区间最高价相对值 (Max)：过去60天的最高价相对当前价格的比值。反映当前价格距离前期高点的距离（阻力位）。

【运行原理】
极值扫描：在设定的N天滑动窗口内，遍历每一天的最高价；
峰值提取：找出这N天中的全局最高价(Max)；
压力位归一化：将提取出的历史最高价除以当前的最新收盘价；
破顶距离刻画：数值反映了当前价格距离近期前高的空间。数值越接近1，说明越有突破前高的可能；数值越大，说明距离前高越远，处于深幅回调中。",price_volume_factors,Window_2023
Price-Volume,RESI10,False,0.0619,128,-0.006043,-0.0476,-1.0386,0.299512,0.356987,0.0755,"【核心含义】
价格趋势残差 (Residual)：过去10天价格线性回归的残差相对值。衡量价格偏离其线性趋势的程度，反映短期超买或超卖。

【运行原理】
数据准备：以时间序列（1到N）作为自变量，N天内的收盘价作为因变量；
线性拟合：对这两组数据进行普通最小二乘法(OLS)线性回归，得到一条代表整体趋势的最佳拟合直线；
残差提取：计算当前最新收盘价与该拟合直线在当天的预测值之间的差值（残差 Resi）；
残差归一化：将残差除以当前的收盘价；
异动捕捉：过滤掉线性的平稳趋势后，剩下的残差反映了价格的非线性突变或异常波动（超买/超卖程度）。",price_volume_factors,Window_2023
Price-Volume,RESI30,False,0.051,129,-0.005918,-0.0475,-1.0357,0.300889,0.356987,0.0723,"【核心含义】
价格趋势残差 (Residual)：过去30天价格线性回归的残差相对值。衡量价格偏离其线性趋势的程度，反映短期超买或超卖。

【运行原理】
数据准备：以时间序列（1到N）作为自变量，N天内的收盘价作为因变量；
线性拟合：对这两组数据进行普通最小二乘法(OLS)线性回归，得到一条代表整体趋势的最佳拟合直线；
残差提取：计算当前最新收盘价与该拟合直线在当天的预测值之间的差值（残差 Resi）；
残差归一化：将残差除以当前的收盘价；
异动捕捉：过滤掉线性的平稳趋势后，剩下的残差反映了价格的非线性突变或异常波动（超买/超卖程度）。",price_volume_factors,Window_2023
Price-Volume,VSUMD60,False,0.1004,130,,,,,,0.0717,"【核心含义】
放缩量净差占比 (Volume Sum Difference)：过去60天成交量增加与减少部分的净差占比。

【运行原理】
量能多空拆解：在N天窗口内，根据当日股价的涨跌，将成交量变化拆分为“伴随上涨的增量”与“伴随下跌的增量”；
量能轧差：计算上涨增量总和与下跌增量总和的差值，得到资金追涨杀跌的“净量能”；
总基准归一化：将净量能除以这N天内所有成交量绝对变化的整体和；
资金净推力：正值代表放量上涨的良性推力，负值代表放量下跌的恶性砸盘，用于甄别资金的真实意图。",price_volume_factors,Window_2023
Price-Volume,KMID,False,0.0088,131,-0.00716,-0.0536,-1.1697,0.24269,0.29804,0.0707,"【核心含义】
K线实体比例：衡量开盘与收盘之间的价格变动（实体），反映日内多空力量的净胜出程度。正值表示多头占优，负值表示空头占优。

【运行原理】
开收对比：读取单日 K 线的开盘价(open)和收盘价(close)；
实体计算：计算收盘价减去开盘价的差额，获取 K 线实体的绝对方向与长度；
无量纲转换：将实体长度除以开盘价，转化为相对于开盘的涨跌百分比；
多空定调：正值代表日内多头净胜，负值代表空头净胜，完全剔除了日内最高/最低价的极端波动干扰。",price_volume_factors,Window_2023
Price-Volume,WVMA20,False,0.1167,132,-0.002918,-0.0356,-0.7776,0.437216,0.497644,0.0701,"【核心含义】
波动加权成交量均值 (Weighted VMA)：过去20天以价格波动绝对值加权的成交量相对均值。反映大幅波动时的异常成交量特征。

【运行原理】
动能权重赋值：在N天滑动窗口内，先计算每日的价格绝对变化率（如：Abs(今日收盘/昨日收盘-1)），以此作为当日行情的“动能权重”；
量能加权：将该动能权重乘上当日的成交量，得到“价格波动加权的成交量”序列；
波动率计算：计算该加权成交量序列的标准差，并除以其均值进行无量纲化；
极端行情捕捉：该指标能极其敏感地捕捉到“巨幅震荡且伴随天量”的极端变盘日，是识别市场情绪顶底的利器。",price_volume_factors,Window_2023
Price-Volume,Alpha88,False,0.0937,133,,,,,,0.0669,"【原始公式】
(CLOSE-DELAY(CLOSE,20))/DELAY(CLOSE,20)*100

【核心含义】
国泰君安191因子体系中的 Alpha88 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2023
Price-Volume,WVMA10,False,0.0897,134,-0.002741,-0.0396,-0.8645,0.387755,0.448642,0.0666,"【核心含义】
波动加权成交量均值 (Weighted VMA)：过去10天以价格波动绝对值加权的成交量相对均值。反映大幅波动时的异常成交量特征。

【运行原理】
动能权重赋值：在N天滑动窗口内，先计算每日的价格绝对变化率（如：Abs(今日收盘/昨日收盘-1)），以此作为当日行情的“动能权重”；
量能加权：将该动能权重乘上当日的成交量，得到“价格波动加权的成交量”序列；
波动率计算：计算该加权成交量序列的标准差，并除以其均值进行无量纲化；
极端行情捕捉：该指标能极其敏感地捕捉到“巨幅震荡且伴随天量”的极端变盘日，是识别市场情绪顶底的利器。",price_volume_factors,Window_2023
Price-Volume,MA30,False,0.0884,135,,,,,,0.0631,"【核心含义】
移动平均 (Moving Average)：过去30天的价格移动平均相对当前价格的比值。反映短期均线乖离率，常用于均线回归或趋势判断。

【运行原理】
窗口聚合：在设定的N天时间窗口内，收集每一天的收盘价；
均值计算：对窗口内的所有收盘价求简单算术平均数(Mean)，得到该周期的移动平均线点位；
乖离率换算：将计算出的移动平均值除以当前的最新收盘价；
偏离度评估：结果大于1代表价格跌破均线（超卖或下行），小于1代表价格在均线上方（超买或上行），反映了短期价格相对均值中枢的偏离状态。",price_volume_factors,Window_2023
Price-Volume,MIN20,False,0.0876,136,,,,,,0.0626,"【核心含义】
区间最低价相对值 (Min)：过去20天的最低价相对当前价格的比值。反映当前价格距离前期低点的距离（支撑位）。

【运行原理】
极值扫描：在设定的N天滑动窗口内，遍历每一天的最低价；
谷值提取：找出这N天中的全局最低价(Min)，即近期的支撑位；
支撑位归一化：将提取出的历史最低价除以当前的最新收盘价；
破底距离刻画：数值反映了当前价格距离近期前低的空间。数值越接近1，说明面临破位风险；数值越小（离1越远），说明已经大幅反弹脱离底部。",price_volume_factors,Window_2023
Price-Volume,RSV10,False,0.0436,137,-0.005219,-0.037,-0.8071,0.420039,0.482012,0.0588,"【核心含义】
未成熟随机值 (Raw Stochastic Value)：KDJ指标的计算基础，(当前价-最低价)/(最高价-最低价)，反映当前价格在过去10天极值区间的相对强弱。

【运行原理】
极值扫描：在N天滑动窗口内，同时找出全局最高价(Max)和全局最低价(Min)，确定该区间的绝对波动范围；
相对位置计算：计算当前最新收盘价减去全局最低价的差额；
KD基石换算：将该差额除以总波动范围（最高价-最低价），得到未成熟随机值(RSV)；
超买超卖界定：结果在0到1之间，直观标定当前价格处于近期波动箱体的什么水位（如0.8以上为超买区，0.2以下为超卖区）。",price_volume_factors,Window_2023
Price-Volume,MAX30,False,0.0925,138,-0.004279,-0.0257,-0.5608,0.575195,0.610055,0.0581,"【核心含义】
区间最高价相对值 (Max)：过去30天的最高价相对当前价格的比值。反映当前价格距离前期高点的距离（阻力位）。

【运行原理】
极值扫描：在设定的N天滑动窗口内，遍历每一天的最高价；
峰值提取：找出这N天中的全局最高价(Max)；
压力位归一化：将提取出的历史最高价除以当前的最新收盘价；
破顶距离刻画：数值反映了当前价格距离近期前高的空间。数值越接近1，说明越有突破前高的可能；数值越大，说明距离前高越远，处于深幅回调中。",price_volume_factors,Window_2023
Price-Volume,CNTN10,False,0.0284,139,0.004738,0.0402,0.8769,0.380992,0.444491,0.0569,"【核心含义】
下跌天数占比 (Count Negative)：过去10天中收益率为负的天数占比。反映空头占据优势的交易日频率。

【运行原理】
跌势识别：逐日对比过去N天的收盘价与前一交易日收盘价，仅对“当日收盘价 < 前日收盘价”的交易日进行布尔标记（True为1，False为0）；
概率统计：在滑动窗口内对布尔序列求均值，计算出该区间内阴线（下跌日）出现的相对比例；
情绪刻画：数值越接近1，说明该区间内股票几乎每天都在下跌，反映出极强的空头压制与市场悲观情绪。",price_volume_factors,Window_2023
Price-Volume,RSQR20,False,0.0797,140,-0.002891,-0.0305,-0.6649,0.50642,0.545375,0.0559,"【核心含义】
价格趋势决定系数 (R-square)：过去20天价格线性回归的R平方。衡量价格趋势的线性度（平滑度），值越大说明趋势越稳定。

【运行原理】
数据准备：以时间序列（1到N）作为自变量，N天内的收盘价作为因变量；
线性拟合：进行普通最小二乘法(OLS)线性回归；
判定系数计算：计算回归模型的决定系数 R-squared (R²)，即因变量的方差中可由自变量（时间趋势）解释的比例；
趋势平稳度评估：R² 越接近1，说明价格沿直线涨跌的趋势越平稳、噪音越小；越接近0，说明走势杂乱无章、震荡剧烈。",price_volume_factors,Window_2023
Price-Volume,CNTN5,False,0.0449,141,0.003985,0.0342,0.7293,0.466218,0.518949,0.0528,"【核心含义】
下跌天数占比 (Count Negative)：过去5天中收益率为负的天数占比。反映空头占据优势的交易日频率。

【运行原理】
跌势识别：逐日对比过去N天的收盘价与前一交易日收盘价，仅对“当日收盘价 < 前日收盘价”的交易日进行布尔标记（True为1，False为0）；
概率统计：在滑动窗口内对布尔序列求均值，计算出该区间内阴线（下跌日）出现的相对比例；
情绪刻画：数值越接近1，说明该区间内股票几乎每天都在下跌，反映出极强的空头压制与市场悲观情绪。",price_volume_factors,Window_2023
Price-Volume,CNTD60,False,0.0718,142,,,,,,0.0513,"【核心含义】
涨跌天数差值 (Count Difference)：过去60天中上涨天数与下跌天数占比的差值。直接反映多空天数力量对比。

【运行原理】
涨跌识别：逐日对比过去N天的收盘价与前一交易日收盘价，分别标记为上涨日和下跌日；
频率统计：在设定窗口内，分别计算上涨日出现的平均概率（多头占比）和下跌日出现的平均概率（空头占比）；
净胜计算：将上涨概率减去下跌概率，得出多空双方在此区间的“净胜频次占比”；
特征输出：正值说明多头占优，负值说明空头占优，每日随着窗口前移而动态更新。",price_volume_factors,Window_2023
Price-Volume,CNTD20,False,0.0667,143,,,,,,0.0476,"【核心含义】
涨跌天数差值 (Count Difference)：过去20天中上涨天数与下跌天数占比的差值。直接反映多空天数力量对比。

【运行原理】
涨跌识别：逐日对比过去N天的收盘价与前一交易日收盘价，分别标记为上涨日和下跌日；
频率统计：在设定窗口内，分别计算上涨日出现的平均概率（多头占比）和下跌日出现的平均概率（空头占比）；
净胜计算：将上涨概率减去下跌概率，得出多空双方在此区间的“净胜频次占比”；
特征输出：正值说明多头占优，负值说明空头占优，每日随着窗口前移而动态更新。",price_volume_factors,Window_2023
Price-Volume,VSTD10,False,0.0347,144,-0.002557,-0.0328,-0.7148,0.47507,0.519608,0.046,"【核心含义】
成交量波动率 (Volume STD)：过去10天成交量的相对标准差。衡量交投活跃度的稳定性。

【运行原理】
量能波动提取：在N天的滑动窗口内，计算每日成交量序列的标准差(Std)，衡量资金参与热度的极热极冷切换频率；
波动归一化：将计算出的成交量绝对标准差除以当前的最新成交量；
筹码稳定性刻画：数值越大，说明近期时而极度缩量时而放出天量，筹码极不稳定；数值越小，说明每日成交量均匀平稳，资金运作有条短不紊。",price_volume_factors,Window_2023
Price-Volume,KSFT2,False,0.0043,145,-0.004023,-0.0346,-0.7545,0.450914,0.509096,0.0438,"【核心含义】
K线重心偏移占振幅比例：标准化后的重心偏移，+1表示收在最高，-1表示收在最低，是极佳的日内动量指标。

【运行原理】
中枢计算：获取当日的最高价、最低价和收盘价，(2*收盘价 - 最高价 - 最低价) 相当于评估收盘价在全天振幅(High-Low)中的相对偏移位置（偏移重心的两倍）；
相对基准：将上述偏移量除以当日开盘价(open)；
重心偏移度：用于刻画最终收盘时，多空力量将价格推离日内均衡中枢的程度，正值偏多，负值偏空。",price_volume_factors,Window_2023
Price-Volume,SUMP60,False,0.055,146,,,,,,0.0393,"【核心含义】
正收益绝对值占比 (Sum Positive)：过去60天中所有正收益之和占总绝对收益的比例。反映多头拉升的绝对力量（类似RSI的核心思想）。

【运行原理】
多头剥离：在N天的滑动窗口内，逐日比对收盘价，仅提取出上涨交易日（今日收盘>昨日收盘）的上涨绝对点数；
多头动能累加：将这N天内的所有上涨点数进行求和；
基准归一化：将多头总动能除以这N天内所有价格变化（无论涨跌）的绝对值总和；
多方势能评估：结果在0到1之间，本质上是经典的相对强弱指标(RSI)的计算内核，反映多头在整体波动中的支配地位。",price_volume_factors,Window_2023
Price-Volume,KLOW2,False,0.0045,147,0.002823,0.0317,0.6898,0.490652,0.532491,0.038,"【核心含义】
K线下影线占全天振幅比例：下影线长度在全天振幅中的占比，值越大说明下方支撑越强，空头杀跌失败。

【运行原理】
形态截取：获取当日的收盘价(close)和最低价(low)；
下影线（或实体下部）计算：计算两者之间的绝对差值，代表价格从日内低点被拉回（或砸下）的空间；
比例换算：将该差值除以当日开盘价(open)进行标准化；
支撑测试：该指标用于刻画下方买盘的承接力度，数值越大说明日内探底回升的动作越明显。",price_volume_factors,Window_2023
Price-Volume,Alpha191,False,0.0236,148,-0.00251,-0.0268,-0.5846,0.559091,0.597502,0.0374,"【原始公式】
((CORR(MEAN(VOLUME,20),LOW,5)+((HIGH+LOW)/2))-CLOSE)

【核心含义】
国泰君安191因子体系中的 Alpha191 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2023
Price-Volume,Alpha11,False,0.1373,149,-0.000245,-0.002,-0.0443,0.964718,0.964718,0.0368,"【原始公式】
(SUM(((CLOSE-LOW)-(HIGH-CLOSE))./(HIGH-LOW).*VOLUME,6)

【核心含义】
国泰君安191因子体系中的 Alpha11 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2023
Price-Volume,RSV5,False,0.0404,150,-0.002601,-0.0195,-0.4262,0.670183,0.689894,0.035,"【核心含义】
未成熟随机值 (Raw Stochastic Value)：KDJ指标的计算基础，(当前价-最低价)/(最高价-最低价)，反映当前价格在过去5天极值区间的相对强弱。

【运行原理】
极值扫描：在N天滑动窗口内，同时找出全局最高价(Max)和全局最低价(Min)，确定该区间的绝对波动范围；
相对位置计算：计算当前最新收盘价减去全局最低价的差额；
KD基石换算：将该差额除以总波动范围（最高价-最低价），得到未成熟随机值(RSV)；
超买超卖界定：结果在0到1之间，直观标定当前价格处于近期波动箱体的什么水位（如0.8以上为超买区，0.2以下为超卖区）。",price_volume_factors,Window_2023
Price-Volume,CNTP20,False,0.0483,151,,,,,,0.0345,"【核心含义】
上涨天数占比 (Count Positive)：过去20天中收益率为正的天数占比。反映多头占据优势的交易日频率。

【运行原理】
涨势识别：逐日对比过去N天收盘价与前一交易日收盘价，提取出“当日收盘价 > 前日收盘价”的阳线（上涨日）并标记为1，其余为0；
概率统计：对该布尔序列在时间窗口内求均值，得出上涨交易日所占的百分比；
情绪刻画：数值越接近1，表明区间内股票连涨天数越多，市场处于强势的多头逼空状态或极度乐观情绪中。",price_volume_factors,Window_2023
Price-Volume,SUMP30,False,0.047,152,,,,,,0.0335,"【核心含义】
正收益绝对值占比 (Sum Positive)：过去30天中所有正收益之和占总绝对收益的比例。反映多头拉升的绝对力量（类似RSI的核心思想）。

【运行原理】
多头剥离：在N天的滑动窗口内，逐日比对收盘价，仅提取出上涨交易日（今日收盘>昨日收盘）的上涨绝对点数；
多头动能累加：将这N天内的所有上涨点数进行求和；
基准归一化：将多头总动能除以这N天内所有价格变化（无论涨跌）的绝对值总和；
多方势能评估：结果在0到1之间，本质上是经典的相对强弱指标(RSI)的计算内核，反映多头在整体波动中的支配地位。",price_volume_factors,Window_2023
Price-Volume,ROC20,False,0.0459,153,,,,,,0.0328,"【核心含义】
收益率 (Rate of Change)：过去20天的价格变动率。反映股票在20天内的动量或反转特性。

【运行原理】
基准定位：在设定的N天时间窗口中，精确定位到窗口最左侧（期初）的收盘价；
价格比对：获取窗口最右侧（当前）的最新收盘价；
变动换算：计算当前价格相对于期初价格的比值，或计算两者的差值后再除以期初价格；
动量输出：直接刻画该时间区间内整体的价格涨跌幅（动量效应），窗口逐日滑动，实时输出最新收益率。",price_volume_factors,Window_2023
Price-Volume,SUMD60,False,0.0441,154,,,,,,0.0315,"【核心含义】
多空收益差占比 (Sum Difference)：过去60天中多头与空头收益绝对量之和的差值占比。反映区间内多空绝对力量的净差。

【运行原理】
涨跌拆解：在N天窗口内，计算每一天的价格变化绝对值，并区分出上涨日的变化量总和与下跌日的变化量总和；
多空轧差：将上涨总和减去下跌总和，得到多空双方博弈后的“净动能”；
基准归一化：将净动能除以这N天内所有价格变化绝对值的总和；
净势能输出：结果在-1到1之间，类似于 RSI 的变体，正值代表多头主导的上涨趋势，负值代表空头主导的下跌趋势。",price_volume_factors,Window_2023
Price-Volume,VSTD30,False,0.0138,155,0.002267,0.0232,0.506,0.613088,0.64054,0.031,"【核心含义】
成交量波动率 (Volume STD)：过去30天成交量的相对标准差。衡量交投活跃度的稳定性。

【运行原理】
量能波动提取：在N天的滑动窗口内，计算每日成交量序列的标准差(Std)，衡量资金参与热度的极热极冷切换频率；
波动归一化：将计算出的成交量绝对标准差除以当前的最新成交量；
筹码稳定性刻画：数值越大，说明近期时而极度缩量时而放出天量，筹码极不稳定；数值越小，说明每日成交量均匀平稳，资金运作有条短不紊。",price_volume_factors,Window_2023
Price-Volume,VSTD20,False,0.0179,156,0.001794,0.0203,0.4417,0.658877,0.68328,0.0281,"【核心含义】
成交量波动率 (Volume STD)：过去20天成交量的相对标准差。衡量交投活跃度的稳定性。

【运行原理】
量能波动提取：在N天的滑动窗口内，计算每日成交量序列的标准差(Std)，衡量资金参与热度的极热极冷切换频率；
波动归一化：将计算出的成交量绝对标准差除以当前的最新成交量；
筹码稳定性刻画：数值越大，说明近期时而极度缩量时而放出天量，筹码极不稳定；数值越小，说明每日成交量均匀平稳，资金运作有条短不紊。",price_volume_factors,Window_2023
Price-Volume,RSV20,False,0.035,157,,,,,,0.025,"【核心含义】
未成熟随机值 (Raw Stochastic Value)：KDJ指标的计算基础，(当前价-最低价)/(最高价-最低价)，反映当前价格在过去20天极值区间的相对强弱。

【运行原理】
极值扫描：在N天滑动窗口内，同时找出全局最高价(Max)和全局最低价(Min)，确定该区间的绝对波动范围；
相对位置计算：计算当前最新收盘价减去全局最低价的差额；
KD基石换算：将该差额除以总波动范围（最高价-最低价），得到未成熟随机值(RSV)；
超买超卖界定：结果在0到1之间，直观标定当前价格处于近期波动箱体的什么水位（如0.8以上为超买区，0.2以下为超卖区）。",price_volume_factors,Window_2023
Price-Volume,SUMD30,False,0.0335,158,,,,,,0.0239,"【核心含义】
多空收益差占比 (Sum Difference)：过去30天中多头与空头收益绝对量之和的差值占比。反映区间内多空绝对力量的净差。

【运行原理】
涨跌拆解：在N天窗口内，计算每一天的价格变化绝对值，并区分出上涨日的变化量总和与下跌日的变化量总和；
多空轧差：将上涨总和减去下跌总和，得到多空双方博弈后的“净动能”；
基准归一化：将净动能除以这N天内所有价格变化绝对值的总和；
净势能输出：结果在-1到1之间，类似于 RSI 的变体，正值代表多头主导的上涨趋势，负值代表空头主导的下跌趋势。",price_volume_factors,Window_2023
Price-Volume,CNTD30,False,0.0321,159,,,,,,0.0229,"【核心含义】
涨跌天数差值 (Count Difference)：过去30天中上涨天数与下跌天数占比的差值。直接反映多空天数力量对比。

【运行原理】
涨跌识别：逐日对比过去N天的收盘价与前一交易日收盘价，分别标记为上涨日和下跌日；
频率统计：在设定窗口内，分别计算上涨日出现的平均概率（多头占比）和下跌日出现的平均概率（空头占比）；
净胜计算：将上涨概率减去下跌概率，得出多空双方在此区间的“净胜频次占比”；
特征输出：正值说明多头占优，负值说明空头占优，每日随着窗口前移而动态更新。",price_volume_factors,Window_2023
Price-Volume,Alpha46,False,0.0321,160,,,,,,0.0229,"【原始公式】
(MEAN(CLOSE,3)+MEAN(CLOSE,6)+MEAN(CLOSE,12)+MEAN(CLOSE,24))/(4*CLOSE)

【核心含义】
国泰君安191因子体系中的 Alpha46 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2023
Price-Volume,KUP2,False,0.0155,161,0.001289,0.0146,0.3189,0.749908,0.766329,0.0209,"【核心含义】
K线上影线占全天振幅比例：上影线长度在全天振幅中的占比，值越大说明上方抛压越重，多头遇阻回落。

【运行原理】
形态截取：获取单日的最高价(high)与收盘价(close)；
上影线（或实体上部）计算：计算最高价与收盘价之差，代表多头冲高后被空头打压回落的空间；
比例换算：将回落空间除以当日开盘价(open)进行标准化；
抛压测试：数值越大，说明日内冲高回落的阻力越强，上方套牢盘或抛压越重。",price_volume_factors,Window_2023
Price-Volume,QTLU10,False,0.0281,162,,,,,,0.0201,"【核心含义】
区间上分位数 (Quantile Up)：过去10天价格的80%分位数相对当前价格的比值。类似布林带上轨概念。

【运行原理】
分位数排序：在设定的N天时间窗口内，将所有交易日的收盘价从小到大进行排列；
高位分位提取：提取位于 80% 分位点(0.8)的收盘价，作为该区间的“稳健压力位”（剔除了极端的单日最高价干扰）；
归一化处理：将该80%分位价格除以当前的最新收盘价；
上行阻力评估：衡量当前价格距离近期筹码高位密集区的距离，评估向上突破需要克服的阻力大小。",price_volume_factors,Window_2023
Price-Volume,Alpha20,False,0.0264,163,,,,,,0.0189,"【原始公式】
(CLOSE-DELAY(CLOSE,6))/DELAY(CLOSE,6)*100

【核心含义】
国泰君安191因子体系中的 Alpha20 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2023
Price-Volume,Alpha31,False,0.0261,164,,,,,,0.0187,"【原始公式】
LOSE-MEAN(CLOSE,12))/MEAN(CLOSE,12)*100

【核心含义】
国泰君安191因子体系中的 Alpha31 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2023
Price-Volume,Alpha15,False,0.0342,165,0.000744,0.0079,0.1717,0.863709,0.869923,0.0178,"【原始公式】
OPEN/DELAY(CLOSE,1)-1

【核心含义】
国泰君安191因子体系中的 Alpha15 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2023
